manufacturer,series,type,angle_deg,flow_lpm_at_ref,p_ref_bar,code
Lechler,652,flat,20,0.11,5.0,652.301
Lechler,652,flat,20,0.21,5.0,652.361
Lechler,652,flat,20,0.41,5.0,652.441
Lechler,652,flat,20,0.53,5.0,652.481
Lechler,652,flat,30,0.11,5.0,652.302
Lechler,652,flat,30,0.21,5.0,652.362
Lechler,652,flat,30,0.33,5.0,652.402
Lechler,652,flat,30,0.53,5.0,652.482
Lechler,652,flat,30,0.82,5.0,652.562
Lechler,652,flat,30,1.32,5.0,652.642
Lechler,652,flat,30,2.07,5.0,652.722
Lechler,652,flat,30,2.63,5.0,652.762
Lechler,652,flat,30,3.29,5.0,652.802
Lechler,652,flat,45,0.11,5.0,652.303
Lechler,652,flat,45,0.21,5.0,652.363
Lechler,652,flat,45,0.33,5.0,652.403
Lechler,652,flat,45,0.53,5.0,652.483
Lechler,652,flat,45,0.82,5.0,652.563
Lechler,652,flat,45,1.32,5.0,652.643
Lechler,652,flat,45,2.07,5.0,652.723
Lechler,652,flat,45,2.63,5.0,652.763
Lechler,652,flat,45,3.29,5.0,652.803
Lechler,652,flat,60,0.11,5.0,652.304
Lechler,652,flat,60,0.15,5.0,652.334
Lechler,652,flat,60,0.21,5.0,652.364
Lechler,652,flat,60,0.33,5.0,652.404
Lechler,652,flat,60,0.41,5.0,652.444
Lechler,652,flat,60,0.53,5.0,652.484
Lechler,652,flat,60,0.62,5.0,652.514
Lechler,652,flat,60,0.82,5.0,652.564
Lechler,652,flat,60,1.04,5.0,652.604
Lechler,652,flat,60,1.32,5.0,652.644
Lechler,652,flat,60,1.56,5.0,652.674
Lechler,652,flat,60,2.07,5.0,652.724
Lechler,652,flat,60,2.63,5.0,652.764
Lechler,652,flat,60,3.29,5.0,652.804
Lechler,652,flat,60,4.11,5.0,652.844
Lechler,652,flat,60,5.26,5.0,652.884
Lechler,652,flat,75,0.017,5.0,652.145
Lechler,652,flat,75,0.02,5.0,652.165
Lechler,652,flat,75,0.03,5.0,652.185
Lechler,652,flat,75,0.04,5.0,652.215
Lechler,652,flat,75,0.05,5.0,652.245
Lechler,652,flat,75,0.07,5.0,652.275
Lechler,652,flat,90,0.04,5.0,652.216
Lechler,652,flat,90,0.05,5.0,652.246
Lechler,652,flat,90,0.07,5.0,652.276
Lechler,652,flat,90,0.11,5.0,652.306
Lechler,652,flat,90,0.15,5.0,652.336
Lechler,652,flat,90,0.21,5.0,652.366
Lechler,652,flat,90,0.33,5.0,652.406
Lechler,652,flat,90,0.41,5.0,652.446
Lechler,652,flat,90,0.53,5.0,652.486
Lechler,652,flat,90,0.62,5.0,652.516
Lechler,652,flat,90,0.82,5.0,652.566
Lechler,652,flat,90,1.04,5.0,652.606
Lechler,652,flat,90,1.32,5.0,652.646
Lechler,652,flat,90,1.56,5.0,652.676
Lechler,652,flat,90,2.07,5.0,652.726
Lechler,652,flat,90,2.63,5.0,652.766
Lechler,652,flat,90,3.29,5.0,652.806
Lechler,652,flat,90,4.11,5.0,652.846
Lechler,652,flat,90,5.26,5.0,652.886
SprayingSystems,FullJet,cone,60,12.0,5.0,FullJet-60-12
SprayingSystems,FullJet,cone,60,20.0,5.0,FullJet-60-20
SprayingSystems,FullJet,cone,90,15.0,5.0,FullJet-90-15
SprayingSystems,FullJet,cone,90,25.0,5.0,FullJet-90-25
